,player_name,pitch_type,stuff_plus,count
1,Emmanuel Clase,SL,205,357
2,Orion Kerkering,SL,198,118
3,Griffin Jax,SL,198,576
4,Ryan Pressly,SL,192,432
5,Pete Fairbanks,SL,187,366
6,Drew Rasmussen,CT,182,241
7,Danny Coulombe,CT,180,358
8,Michael Kelly,SL,172,189
9,Gregory Santos,SL,169,549
10,Ryan Helsley,SL,168,223
11,Brooks Raley,SL,167,355
12,Kyle Bradish,SL,166,850
13,Elvis Peguero,SL,164,476
14,Ryan Pressly,CB,162,309
15,Cole Ragans,SL,160,165
16,Daniel Duarte,SL,159,104
17,Aaron Civale,SL,159,113
18,Emmanuel Clase,CT,158,753
19,Caleb Thielbar,CB,158,104
20,Graham Ashcraft,SL,157,869
21,Abner Uribe,SL,156,180
22,George Kirby,SL,155,557
23,Ian Gibaut,SL,154,253
24,Joe Kelly,CB,153,127
25,Joe Kelly,SL,152,192
26,Corbin Burnes,SL,152,270
27,Julian Merryweather,SL,152,634
28,Declan Cronin,SL,152,103
29,James Naile,CB,151,118
30,Luke Jackson,SL,151,364
31,Cionel Pérez,SL,150,266
32,Shohei Ohtani,SL,149,740
33,Austin Pruitt,SL,149,288
34,Bobby Miller,SL,149,346
35,Zack Thompson,CB,149,318
36,Bryan Baker,SL,148,233
37,Lucas Sims,SL,148,534
38,Clay Holmes,SL,148,311
39,Clarke Schmidt,SL,148,740
40,José Soriano,CB,147,276
41,Trevor Megill,CB,147,168
42,Brendan White,SL,147,385
43,James McArthur,CB,145,132
44,Alex Lange,CB,145,667
45,Jhoan Duran,CB,145,302
46,Evan Phillips,SL,145,433
47,Calvin Faucher,SL,144,151
48,Cole Ragans,CB,144,198
49,Austin Pruitt,CB,144,121
50,Tyler Glasnow,SL,143,680
51,Bryan Abreu,SL,143,774
52,Chris Devenski,SL,143,131
53,Marcus Stroman,SL,143,619
54,Jacob deGrom,SL,143,165
55,Logan Gilbert,SL,142,865
56,Joe Musgrove,CB,142,370
57,Gus Varland,SL,142,181
58,Craig Kimbrel,CB,142,415
59,Tanner Scott,SL,141,640
60,JT Chargois,SL,141,295
61,Justin Lawrence,SL,140,574
62,Drew Rasmussen,SL,140,102
63,Robert Stephenson,SL,139,183
64,Andre Pallante,SL,139,199
65,Matt Brash,SL,138,658
66,Tim Mayza,SL,138,190
67,Shane McClanahan,CB,138,309
68,Eli Morgan,SL,137,307
69,Phil Maton,CB,137,438
70,Edward Cabrera,CB,137,420
71,Andrew Abbott,SL,137,313
72,Luis F. Ortiz,SL,137,129
73,Griffin Canning,SL,137,624
74,Jordan Romano,SL,136,502
75,Thaddeus Ward,SL,136,246
76,Framber Valdez,CB,135,785
77,Aaron Bummer,SL,135,418
78,Chris Flexen,SL,135,169
79,Isaiah Campbell,SL,135,254
80,Brandon Pfaadt,SL,134,494
81,Dustin May,CB,134,149
82,Aaron Civale,CB,134,490
83,Kyle Bradish,CB,134,472
84,A.J. Puk,SL,133,411
85,Clarke Schmidt,CB,133,519
86,Yu Darvish,SL,133,799
87,Sonny Gray,SL,133,636
88,Jorge López,SL,133,156
89,George Kirby,CB,132,321
90,Chris Flexen,CT,132,514
91,Mike Baumann,CB,132,272
92,Patrick Sandoval,CB,132,234
93,Aaron Nola,CB,132,1076
94,Andrés Muñoz,SL,132,406
95,David Robertson,CB,131,280
96,DL Hall,SL,131,111
97,J.P. France,CT,131,431
98,Trevor Stephan,SL,130,272
99,Brandon Williamson,SL,130,196
100,Joe Musgrove,CT,130,316
101,Aroldis Chapman,SL,130,310
102,Pablo López,SL,130,690
103,Zack Wheeler,SL,129,468
104,Andrew Nardi,SL,129,371
105,Tyler Wells,CT,129,371
106,James Karinchak,CB,129,319
107,Pierce Johnson,CB,129,678
108,Mitch Keller,SL,128,499
109,Gerrit Cole,CB,128,396
110,Steven Wilson,SL,128,561
111,Luis Castillo,SL,128,709
112,Tayler Scott,SL,128,159
113,Kevin Ginkel,SL,127,512
114,Yency Almonte,SL,127,401
115,Nick Pivetta,CT,127,185
116,Chasen Shreve,SL,126,165
117,Paul Sewald,SL,126,493
118,Bobby Miller,CB,126,373
119,Reed Garrett,SL,126,130
120,Luis L. Ortiz,SL,126,478
121,Brusdar Graterol,SL,126,232
122,Bryce Elder,SL,126,1027
123,Matt Moore,CB,126,172
124,Robert Stephenson,CT,126,316
125,Steven Okert,SL,125,635
126,Sam Hentges,SL,125,124
127,Sonny Gray,CT,125,375
128,Brandon Williamson,CT,125,578
129,Pablo López,CB,125,383
130,Phil Maton,SL,125,257
131,Jimmy Herget,SL,125,158
132,Andrew Wantz,SL,125,170
133,Michael Grove,SL,125,455
134,Jacob Webb,SL,125,229
135,Trent Thornton,SL,124,202
136,Julio Urías,CT,124,170
137,Charlie Morton,CB,124,1227
138,Ryan Feltner,SL,124,244
139,Merrill Kelly,CB,124,331
140,Justin Steele,SL,124,906
141,Rafael Montero,SL,123,181
142,Corbin Burnes,CT,123,1757
143,Michael Fulmer,CT,123,209
144,José Cisnero,SL,123,178
145,Joe Musgrove,SL,123,225
146,Shane McClanahan,SL,123,279
