,player_name,pitch_type,stuff_plus,count
538,Ryan Helsley,FF,272,341
53,Aroldis Chapman,SI,260,177
503,Paul Sewald,FF,250,688
94,Brusdar Graterol,SI,226,418
391,Kevin Kelly,SI,225,505
221,Félix Bautista,FF,215,695
272,Jacob deGrom,FF,206,235
573,Spencer Strider,FF,206,1940
607,Trevor Megill,FF,205,442
216,Eury Pérez,FF,202,696
241,Gregory Soto,SI,197,444
223,Gabe Speier,SI,195,357
116,Carlos Hernández,FF,194,692
92,Brock Stewart,FF,189,194
159,Cristopher Sánchez,SI,186,689
187,Drew Rasmussen,FF,186,199
197,Dustin May,SI,185,245
27,Alex Vesia,FF,183,606
653,Zack Wheeler,FF,183,1573
296,Jeremiah Estrada,FF,183,199
329,Jonathan Loáisiga,SI,183,165
157,Craig Kimbrel,FF,182,836
78,Brandon Woodruff,FF,180,428
619,Tyler Glasnow,FF,180,878
210,Emilio Pagán,FF,179,609
169,Daniel Palencia,FF,177,326
336,Jordan Romano,FF,176,423
595,Tim Hill,SI,174,298
308,Joe Jacques,SI,173,274
47,Angel Perdomo,FF,172,302
238,Grayson Rodriguez,FF,169,1085
588,Tayler Saucedo,SI,169,314
52,Aroldis Chapman,FF,169,542
220,Freddy Peralta,FF,168,1496
552,Sandy Alcantara,SI,168,788
532,Robert Suarez,FF,167,164
295,Jeff Hoffman,FF,167,328
521,Ranger Suárez,SI,167,638
546,Ryne Stanek,FF,167,588
437,Mason Miller,FF,166,338
49,Angel Zerpa,SI,166,168
258,Hunter Harvey,FF,165,577
636,Yimi García,SI,165,175
65,Bobby Miller,FF,165,585
323,John Schreiber,FF,165,236
10,Adam Cimber,FF,165,152
103,Bryce Miller,FF,164,1223
44,Andrés Machado,SI,164,230
257,Hunter Greene,FF,164,1134
484,Nick Pivetta,FF,163,1205
581,Taj Bradley,FF,163,818
586,Tanner Scott,FF,162,575
446,Matt Strahm,SI,162,277
526,Reynaldo López,FF,161,774
309,Joe Jiménez,FF,160,598
430,MacKenzie Gore,FF,160,1463
66,Bobby Miller,SI,160,387
625,Victor González,SI,160,325
541,Ryan Thompson,SI,159,357
487,Nick Sandlin,FF,159,274
506,Pete Fairbanks,FF,159,363
322,John King,SI,159,286
3,Aaron Bummer,SI,158,497
421,Luis Castillo,SI,158,572
551,Sandy Alcantara,FF,158,579
83,Brayan Bello,SI,157,945
175,David Peterson,SI,157,496
314,Joe Ryan,FF,157,1539
290,Jason Foley,SI,156,724
376,Justin Topa,SI,156,467
99,Bryan Woo,SI,155,369
271,Jacob Webb,FF,154,466
412,Logan Allen,FF,154,961
233,Gerrit Cole,FF,154,1737
224,Garrett Crochet,FF,153,186
306,JoJo Romero,SI,153,183
245,Génesis Cabrera,FF,153,346
8,Aaron Nola,SI,153,647
300,Jhoan Duran,FF,153,479
370,Julian Merryweather,FF,152,501
