,player_name,pitch_type,stuff_plus,count
1,Félix Bautista,SP,219,244
2,Jhoan Duran,SP,211,292
3,Shintaro Fujinami,SP,210,280
4,Kyle Finnegan,SP,207,272
5,Framber Valdez,CH,173,513
6,Steven Matz,CH,170,511
7,Yonny Chirinos,SP,169,343
8,Michael Wacha,CH,167,764
9,Sandy Alcantara,CH,164,741
10,Jhony Brito,CH,164,418
11,JP Sears,CH,163,432
12,Yennier Cano,CH,159,291
13,Wandy Peralta,CH,158,388
14,Zack Littell,SP,154,263
15,Ryan Pepiot,CH,153,226
16,George Soriano,CH,151,193
17,Erik Swanson,SP,150,518
18,Fernando Cruz,SP,149,402
19,George Kirby,SP,148,172
20,Jalen Beeks,CH,148,322
21,Devin Williams,CH,147,558
22,John Means,CH,147,113
23,Merrill Kelly,CH,145,726
24,Mark Leiter Jr.,SP,145,359
25,Andrés Machado,CH,145,212
26,Hector Neris,SP,143,370
27,Shane McClanahan,CH,141,470
28,Matt Moore,CH,141,260
29,Aaron Loup,CH,140,145
30,Trevor Richards,CH,140,764
31,Nabil Crismatt,CH,140,123
32,Mason Englert,CH,139,255
33,Logan Gilbert,SP,138,431
34,Nathan Eovaldi,SP,137,752
35,Chase Silseth,SP,136,148
36,Keynan Middleton,CH,136,367
37,Jason Foley,CH,135,139
38,Hunter Harvey,SP,135,180
39,Jake Irvin,CH,133,105
40,Rafael Montero,CH,132,304
41,Pablo López,CH,132,676
42,Hoby Milner,CH,131,181
43,Carlos Carrasco,CH,131,473
44,Raisel Iglesias,CH,131,312
45,Cole Ragans,CH,128,375
46,Pedro Avila,CH,128,229
47,Tyler Holton,CH,128,269
48,Kenta Maeda,SP,128,563
49,Chasen Shreve,SP,127,304
50,Tommy Henry,CH,127,268
51,Nick Martinez,CH,127,504
52,Connor Brogdon,CH,126,233
53,Brent Honeywell,CH,126,248
54,Huascar Brazoban,CH,126,291
55,Eli Morgan,CH,126,376
56,Bailey Ober,CH,126,683
57,Keaton Winn,SP,126,328
58,Joel Payamps,CH,126,137
59,Andre Jackson,CH,125,319
60,Logan Webb,CH,124,1321
61,Edward Cabrera,CH,123,564
62,Logan Allen,CH,123,452
63,Alex Young,CH,123,313
64,Allan Winans,CH,122,148
65,Corey Kluber,CH,121,156
66,Chris Stratton,CH,121,105
67,Garrett Whitlock,CH,121,286
68,Dane Dunning,CH,121,432
69,Taylor Clarke,CH,120,164
70,Zac Gallen,CH,120,531
71,Johnny Cueto,CH,120,165
72,Brandon Woodruff,CH,119,205
73,José Suarez,CH,119,165
74,Kevin Herget,CH,119,147
75,Josh Winder,CH,118,139
76,José Urquidy,CH,118,276
77,Tarik Skubal,CH,118,298
78,Brad Keller,CH,117,107
79,Cole Irvin,CH,117,269
80,Dylan Floro,CH,117,114
81,David Peterson,CH,117,371
82,David Bednar,SP,117,183
83,Julio Teheran,CH,117,127
84,Robert Suarez,CH,116,151
85,Cal Quantrill,SP,115,209
86,Tanner Bibee,CH,115,384
87,Griffin Canning,CH,115,442
88,Lucas Erceg,CH,114,232
89,Hobie Harris,SP,114,174
90,Reiver Sanmartin,CH,114,130
91,Julio Urías,CH,113,288
92,Alex Cobb,SP,113,967
93,Joan Adon,CH,113,139
94,Justin Verlander,CH,113,134
95,Wade Miley,CH,113,458
96,Martín Pérez,CH,112,608
97,John King,CH,112,195
98,Brandon Bielak,CH,111,344
99,Paul Blackburn,CH,111,209
100,Corbin Burnes,CH,111,353
101,Kevin Gausman,SP,111,1208
102,Lucas Giolito,CH,111,898
103,Charlie Morton,CH,110,290
104,Jovani Moran,CH,110,353
105,Peter Strzelecki,CH,110,116
106,Chris Devenski,CH,110,369
107,Tommy Kahnle,CH,109,518
108,JoJo Romero,CH,109,153
109,Taj Bradley,CH,109,249
110,Hunter Brown,SP,108,137
111,Kenny Rosenberg,CH,108,203
112,Miguel Castro,CH,108,177
113,Matthew Boyd,CH,107,219
114,Reid Detmers,CH,107,135
115,Ryne Nelson,CH,107,315
116,Nick Robertson,CH,107,123
117,Trevor May,CH,107,172
118,Blake Snell,CH,107,583
119,Adam Ottavino,CH,107,142
120,Taijuan Walker,SP,107,941
121,Tyler Alexander,CH,106,114
122,Joe Ryan,SP,106,739
123,Daniel Lynch IV,CH,105,223
124,Buck Farmer,CH,105,281
125,Tylor Megill,CH,105,334
126,Cristian Javier,CH,104,130
127,Marco Gonzales,CH,104,245
128,Zack Greinke,CH,104,368
129,Albert Abreu,CH,104,149
130,Bryce Elder,CH,103,393
131,Drew VerHagen,CH,103,117
132,Noah Syndergaard,CH,103,311
133,Austin Gomber,CH,102,390
134,Patrick Sandoval,CH,101,672
135,Jason Adam,CH,101,319
136,Grayson Rodriguez,CH,101,481
137,Michael King,CH,100,244
138,Brandon Williamson,CH,100,317
139,Zach Eflin,CH,100,131
140,José Ruiz,CH,100,107
141,Tanner Houck,SP,99,198
142,Bobby Miller,CH,99,321
143,Brayan Bello,CH,99,623
144,Andrew Heaney,CH,99,456
145,Beau Brieske,CH,98,150
146,Tony Gonsolin,SP,98,449
147,Kyle Gibson,CH,96,521
148,Domingo Germán,CH,96,345
149,Ross Stripling,CH,96,359
150,Ryne Stanek,SP,96,169
151,Sammy Peralta,CH,96,140
152,Tyler Anderson,CH,96,821
153,Chris Bassitt,CH,96,206
154,Jakob Junis,CH,95,138
155,Ryan Pressly,CH,95,101
156,Eduardo Rodriguez,CH,94,446
157,Chase Anderson,CH,94,332
158,Jackson Kowar,CH,93,202
159,Jon Gray,CH,93,279
160,Alex Lange,CH,93,117
161,Chris Sale,CH,92,214
162,José Berríos,CH,92,551
163,Carl Edwards Jr.,CH,92,132
164,Patrick Corbin,CH,92,187
165,Jacob Webb,CH,91,271
166,Dylan Dodd,CH,91,101
167,Tyler Wells,CH,91,364
168,Luis Severino,CH,90,302
169,Ian Kennedy,SP,90,105
170,Kutter Crawford,SP,90,162
171,Ron Marinaccio,CH,90,331
172,Dallas Keuchel,CH,88,177
173,Joey Wentz,CH,88,335
